Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier,,,Roster Position
121036-105646,TE,Sam,Sam LaPorta,LaPorta,6.425000190734863,4,5600,DET@CIN,DET,CIN,,,,,,TE/FLEX
121036-60957,WR,KaVontae,KaVontae Turpin,Turpin,7.425000190734863,4,5600,DAL@NYJ,DAL,NYJ,,,,,,WR/FLEX
121036-110484,RB,RJ,RJ Harvey,Harvey,4.466666539510091,3,5600,DEN@PHI,DEN,PHI,,,,,,RB/FLEX
121036-52436,TE,Mark,Mark Andrews,Andrews,8.125,4,5500,HOU@BAL,BAL,HOU,,,,,,TE/FLEX
121036-151903,WR,Troy,Troy Franklin,Franklin,9.40000025431315,3,5500,DEN@PHI,DEN,PHI,,,,,,WR/FLEX
121036-60858,WR,Christian,Christian Kirk,Kirk,3.75,2,5500,HOU@BAL,HOU,BAL,,,,,,WR/FLEX
121036-117178,RB,Jacory,Jacory Croskey-Merritt,Croskey-Merritt,8.050000190734863,4,5500,WAS@LAC,WAS,LAC,,,,,,RB/FLEX
121036-63819,WR,Darius,Darius Slayton,Slayton,4.5,4,5400,NYG@NO,NYG,NO,,,,,,WR/FLEX
121036-88548,WR,Jalen,Jalen Tolbert,Tolbert,4.275000095367432,4,5400,DAL@NYJ,DAL,NYJ,,,,,,WR/FLEX
121036-138774,RB,Woody,Woody Marks,Marks,8.975000381469727,4,5400,HOU@BAL,HOU,BAL,,,,,,RB/FLEX
121036-85845,WR,Rashod,Rashod Bateman,Bateman,5.550000190734863,4,5400,HOU@BAL,BAL,HOU,,,,,,WR/FLEX
121036-64555,WR,Calvin,Calvin Ridley,Ridley,4.775000095367432,4,5300,TEN@ARI,TEN,ARI,Q,Undisclosed,,,,WR/FLEX
121036-86153,RB,Tyrone,Tyrone Tracy Jr.,Tracy Jr.,5.400000254313151,3,5300,NYG@NO,NYG,NO,O,Shoulder,,,,RB/FLEX
121036-64808,TE,Juwan,Juwan Johnson,Johnson,9.350000381469727,4,5300,NYG@NO,NO,NYG,,,,,,TE/FLEX
121036-86312,WR,Alec,Alec Pierce,Pierce,7.200000127156575,3,5300,LV@IND,IND,LV,Q,Concussion,,,,WR/FLEX
121036-170287,WR,Rashid,Rashid Shaheed,Shaheed,8.225000381469727,4,5300,NYG@NO,NO,NYG,,,,,,WR/FLEX
121036-158412,RB,Braelon,Braelon Allen,Allen,4.566666603088379,3,5300,DAL@NYJ,NYJ,DAL,,,,,,RB/FLEX
121036-16606,WR,DeAndre,DeAndre Hopkins,Hopkins,6.425000190734863,4,5200,HOU@BAL,BAL,HOU,,,,,,WR/FLEX
121036-120093,WR,Marvin,Marvin Mims Jr.,Mims Jr.,3.6666666666666665,3,5200,DEN@PHI,DEN,PHI,Q,Hip,,,,WR/FLEX
121036-94579,RB,Emari,Emari Demercado,Demercado,3.0333334604899087,3,5200,TEN@ARI,ARI,TEN,,,,,,RB/FLEX
121036-25011,TE,Darren,Darren Waller,Waller,,0,5200,MIA@CAR,MIA,CAR,,,,,,TE/FLEX
121036-137902,RB,Rachaad,Rachaad White,White,6.050000190734863,4,5200,TB@SEA,TB,SEA,,,,,,RB/FLEX
121036-172861,WR,Elic,Elic Ayomanor,Ayomanor,8.274999618530273,4,5200,TEN@ARI,TEN,ARI,,,,,,WR/FLEX
121036-29780,TE,Zach,Zach Ertz,Ertz,8.975000381469727,4,5100,WAS@LAC,WAS,LAC,,,,,,TE/FLEX
121036-87127,RB,Chris,Chris Rodriguez Jr.,Rodriguez Jr.,4.900000095367432,2,5100,WAS@LAC,WAS,LAC,,,,,,RB/FLEX
